Stany magazynowe towarów: na dzień 2026-09-07, jednostka dodatkowa1	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
05S05/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/CP		szt		1250,9014	89,06	111408,41		
05S05/06 E		Sklejka liściasta wodoodporna 5x2500x1250 BB/CP		szt		660,032	97,34	64249,99		
05S05/09 E		Sklejka liściasta wodoodporna 5x1525x2500 BB/CP		szt		0	0,00	0,00		
05S05/12 E		Sklejka liściasta wodoodporna 5x1500x3000 BB/CP		szt		0	0,00	0,00		
05S05/28 E		Sklejka liściasta wodoodporna 5x1525x3000 BB/CP		szt		0	0,00	0,00		
05S06/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/WG		szt		0	0,00	0,00		
05S06/60 E		Sklejka liściasta wodoodporna 5x1250x2750 BB/WG		szt		0	0,00	0,00		
05S07/03 E		Sklejka liściasta wodoodporna 5x1220x2440 CP/CP		szt		0	0,00	0,00		
05S07/05 E		Sklejka liściasta wodoodporna 5x1250x2500 CP/CP		szt		0	0,00	0,00		
05S07/11 E		Sklejka liściasta wodoodporna 5x1525x3050 CP/CP		szt		0	0,00	0,00		
05S10/02		Sklejka liściasta suchotrwała 5x1525x1525 C/C		szt		0	0,00	0,00		
05S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 5x1250x2500 F/F szara/ciemny brąz		szt		1281,8528	200,89	257511,84		
05S12/09 F/F grey/d.br.		Sklejka liściasta foliowana 5x1530x2500 F/F szara/ciemny brąz		szt		723,0755	291,95	211104,45		
05S12/12 F/F grey/d.br		Sklejka liściasta foliowana 5x1500x3000 F/F grey/dark brown		szt		0	0,00	0,00		
05S13/05 F/F grey/d.br.		Sklejka liściasta foliowana 5x1250x2500 F/F grey/dark brown		szt		210,9623	93,25	19671,21		
05S13/09 F/F grey/d.br.		Sklejka liściasta foliowana 5x1525x2500 F/F szara/ciemnobrązowa		szt		0	0,00	0,00		
05S18/05 E		Sklejka liściasta wodoodporna 5x1250x2500 CP/C		szt		0	0,00	0,00		
05S18/11 E		Sklejka liściasta wodoodporna 5x1525x3050 CP/C		szt		0	0,00	0,00		
05S18/12 E		Sklejka liściasta wodoodporna 5x1500x3000 CP/C		szt		0	0,00	0,00		
05S22/02		Sklejka liściasta suchotrwała 5x1525x1525 BB/C		szt		0	0,00	0,00		
05S22/05 E		Sklejka liściasta wodoodporna 5x1250x2500 BB/C		szt		0	0,00	0,00		
05S22/11 E		Sklejka liściasta wodoodporna 5x1525x3050 BB/C		szt		0	0,00	0,00		
05S22/12 E		Sklejka liściasta wodoodporna 5x1500x3000 BB/C		szt		0	0,00	0,00		
065S/ALU E		sklejka liściasta WD, gr. 6,5mm		szt		0	0,00	0,00		
065S04/03 E		Sklejka liściasta wodoodporna 6,5x1220x2440 BB/BB		szt		0	0,00	0,00		
065S04/05 E		Sklejka liściasta wodoodporna 6,5x1250x2500 BB/BB		szt		0	0,00	0,00		
065S04/06 E		Sklejka liściasta wodoodporna 6,5x2500x1250 BB/BB		szt		60,0123	145,44	8727,97		
065S04/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 BB/BB		szt		0	0,00	0,00		
065S04/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 BB/BB		szt		40	200,45	8018,14		
