Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa2					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
065S12/12 F/F l.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	m3	0	0	0
065S12/12 M/M	Sklejka liściasta foliowana 6,5x1500x3000 M/M	m3	0,497	6055,42	3009,54
065S12/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	m3	0	0	0
065S12/75 F/F grey	Sklejka liściasta foliowana 6,5x2150x4000 F/F szara	m3	0	0	0
065S13/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	m3	2,7219	4865,65	13243,73
065S13/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	m3	0,2194	4778,8	1048,35
065S13/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	m3	0	0	0
065S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa	m3	0	0	0
065S13/05 F/F yell/d.br	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz	m3	0	0	0
065S13/05 M/F white/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	m3	0	0	0
065S13/05 M/M	Sklejka liściasta foliowana 6,5x1250x2500 M/M	m3	1,2998	5831,28	7579,75
065S13/09 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x2500 F/F jasny brąz	m3	0	0	0
065S13/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	m3	8,1314	5228,81	42517,67
065S13/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F grey	m3	6,62	4802,28	31791,06
065S13/11 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz	m3	2,116	4820,25	10199,64
065S13/11 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz	m3	0	0	0
065S13/11 F/F light grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasno szary	m3	0	0	0
065S13/11 M/M white	Sklejka liściasta melamina biała 6,5x1525x3050 M/M white	m3	0,756	6292,19	4756,71
065S13/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	m3	2,6327	5317,98	14000,91
065S13/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	m3	0	0	0
065S13/12 F/F l.br	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	m3	0	0	0
065S13/29 F/F	Sklejka liściasta foliowana 6,5x1250x3050 F/F	m3	0	0	0
065S13/57 F/F	Sklejka liściasta foliowana 6,5x2150x3340 F/F	m3	0	0	0
065S13/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	m3	0,156	4827,55	753,07
065S13/62 F/F	Sklejka liściasta foliowana 6,5x2150x3050 F/F ciemny brąz	m3	0	0	0
065S14/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	m3	0	0	0
065S14/03 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W Smooth Mesh czarna	m3	0	0	0
065S14/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus black	m3	8,6949	6419,67	55818,57
065S14/03 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus szara	m3	0	0	0
065S14/03 F/WT	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus	m3	0	0	0
065S14/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	m3	1,5829	6403,1	10135,76
065S14/05 F/W black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna	m3	0	0	0
065S14/05 F/W Black/d.br	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna/ ciemny brąz	m3	0	0	0
065S14/05 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Smooth Mesh black	m3	0,4018	6821,87	2741,07
065S14/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	m3	2,3564	6287,01	14814,94
065S14/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus black	m3	8,7082	6859,26	59731,99
065S14/05 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus szara	m3	0	0	0
065S14/07 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W	m3	0	0	0
065S14/07 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus czarna	m3	0	0	0
065S14/07 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus szara	m3	0	0	0
065S14/09 F/W H+ black	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus czarna	m3	0	0	0
065S14/11 F/W	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W	m3	0,605	6324,21	3826,15
065S14/11 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1525x3050 F/W	m3	0	0	0
065S14/11 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W heksa plus czarna	m3	0	0	0
065S14/12 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x3000 F/W	m3	0	0	0
065S14/12 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1500x3000 F/W	m3	0	0	0
065S14/27 F/W	Sklejka liściasta antypoślizgowa 6,5x2150x3850 F/W	m3	0,1069	8641,19	924,01
065S14/64 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1200x2400 F/W heksa czarna	m3	0	0	0
065S15/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	m3	0	0	0
065S15/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus czarna	m3	1,025	4838,85	4959,82
065S15/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	m3	0	0	0
065S15/05 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Heksa czarna	m3	0,589	5875,89	3460,9
065s15/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	m3	0	0	0
065S15/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus czarna	m3	0,67	4848,52	3248,51
065S15/09 F/W H+ grey	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus szara	m3	0	0	0
