Stany magazynowe towarów: na dzień 2026-09-07	
Kod towaru		nazwa towaru		jm		stan	cena	wartość		
065S11/05 E PQ		Sklejka liściasta wodoodporna 6,5x1250x2500		m2		0	0,00	0,00		
065S11/05 E PQ-F		Sklejka liściasta wodoodporna 6,5x1250x2500		m2		0	0,00	0,00		
065S11/07 E		Sklejka liściasta wodoodporna 6,5x1500x2500		m2		0	0,00	0,00		
065S11/07 PQ		Sklejka liściasta foliowana 6,5x1500x2500		m2		0	0,00	0,00		
065S11/07 PQ F		Sklejka liściasta laminowana 6,5x1500x2500		m2		0	0,00	0,00		
065S11/09 E		Sklejka liściasta wodoodporna 6,5x1525x2500 kilo		m2		0	0,00	0,00		
065S11/106 PQ F		Sklejka liściasta foliowana 6,5x1850x1220		m2		0	0,00	0,00		
065S11/11 E		Sklejka liściasta wodoodporna 6,5x1525x3050 kilo		m2		14	19,33	270,57		
065S11/12 E		Sklejka liściasta wodoodporna 6,5x1500x3000 kilo		m2		0	0,00	0,00		
065S11/12 PQ		Sklejka liściasta suchotrwała 6,5x1500x3000		m2		0	0,00	0,00		
065S11/12 PQ F		Sklejka liściasta foliowana 6,5x1500x3000		m2		144,1539	13,44	1936,84		
065S11/26 PQ		Sklejka liściasta wodoodporna 6,5x2150x1250		m2		0	0,00	0,00		
065S11/26 PQ F		Sklejka liściasta wodoodporna 6,5x2150x1250		m2		0	0,00	0,00		
065S11/29 E		Sklejka liściasta wodoodporna 6,5x1250x3050		m2		83,774	17,76	1487,56		
065S11/56 E		Sklejka liściasta wodoodporna 6,5x1525x2750 kilo		m2		0	0,00	0,00		
065S11/60 E		Sklejka liściasta wodoodporna 6,5x1250x2750		m2		0	0,00	0,00		
065S11/64 PQ		Sklejka liściasta wodoodporna 6,5x1200x2400 kilo PQ		m2		0	0,00	0,00		
065S11/65 PQ		Sklejka liściasta suchotrwała 6,5x1525x2150		m2		0	0,00	0,00		
065S11/69 E		Sklejka liściasta wodoodporna 6,5x2150x1525 kilo		m2		0	0,00	0,00		
065S11/69 PQ		Sklejka liściasta wodoodporna 6,5x2150x1525 kilo		m2		0	0,00	0,00		
065S11/69 PQ F		Sklejka liściasta foliowana 6,5x2150x1525 kilo		m2		114,6108	12,62	1446,77		
065S11/72 F/F		Sklejka liściasta foliowana 6,5x780x1960mm		m2		0	0,00	0,00		
065S12/03 F/F		Sklejka liściasta foliowana 6,5x1220x2440 F/F		m2		0	0,00	0,00		
065S12/03 F/F black		Sklejka liściasta foliowana 6,5x1220x2440 F/F czarna		m2		0	0,00	0,00		
065S12/03 F/F green		Sklejka liściasta foliowana 6,5x1220x2440 F/F zielona		m2		0	0,00	0,00		
065S12/05 F/F		Sklejka liściasta foliowana 6,5x1250x2500 F/F		m2		1627,6215	40,85	66484,77		
065S12/05 F/F black		Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna		m2		2007,987	41,52	83380,49		
065S12/05 F/F green		Sklejka liściasta foliowana 6,5x1250x2500 F/F zielona		m2		0	0,00	0,00		
065S12/05 F/F grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara		m2		1112,303	39,63	44085,95		
065S12/05 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/ciemny brąz		m2		507,5388	43,41	22033,37		
065S12/05 F/F grey/yell.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/żółta		m2		0	0,00	0,00		
065S12/05 F/F l.grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F jasno szara		m2		0	0,00	0,00		
065S12/05 F/F yell.		Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta		m2		0	0,00	0,00		
065S12/05 M/F		Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa		m2		0	0,00	0,00		
065S12/05 M/M white		Sklejka liściasta foliowana 6,5x1250x2500 M/M		m2		275,0538	38,80	10671,10		
065S12/09 F/F		Sklejka liściasta foliowana 6,5x1525x2500 F/F		m2		0	0,00	0,00		
065S12/11 F/F		Sklejka liściasta foliowana 6,5x1525x3050 F/F		m2		223,2877	39,86	8901,22		
065S12/11 F/F grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara		m2		0	0,00	0,00		
065S12/11 F/F grey / d.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz		m2		0	0,00	0,00		
065S12/11 F/F s.grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F s.grey		m2		0	0,00	0,00		
065S12/12		Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz		m2		0	0,00	0,00		
065S12/12 F/F		Sklejka liściasta foliowana 6,5x1500x3000 F/F		m2		976,0566	46,28	45169,13		
065S12/12 F/F black		Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna		m2		0	0,00	0,00		
065S12/12 F/F grey		Sklejka liściasta foliowana 6,5x1500x3000 F/F szara		m2		0	0,00	0,00		
065S12/12 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown		m2		1840,6932	59,62	109742,04		
065S12/12 F/F l.br.		Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz		m2		0	0,00	0,00		
065S12/12 M/M		Sklejka liściasta foliowana 6,5x1500x3000 M/M		m2		76,4615	39,36	3009,54		
065S12/60 F/F		Sklejka liściasta foliowana 6,5x1250x2750mm		m2		0	0,00	0,00		
065S12/75 F/F grey		Sklejka liściasta foliowana 6,5x2150x4000 F/F szara		m2		0	0,00	0,00		
065S13/05 F/F		Sklejka liściasta foliowana 6,5x1250x2500 F/F		m2		418,7514	31,63	13243,73		
065S13/05 F/F black		Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna		m2		33,75	31,06	1048,35		
065S13/05 F/F grey		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara		m2		0	0,00	0,00		
065S13/05 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa		m2		0	0,00	0,00		
065S13/05 F/F yell/d.br		Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz		m2		0	0,00	0,00		
065S13/05 M/F white/d.br.		Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa		m2		0	0,00	0,00		
065S13/05 M/M		Sklejka liściasta foliowana 6,5x1250x2500 M/M		m2		174,8992	37,97	6640,92		
065S13/09 F/F l.br.		Sklejka liściasta foliowana 6,5x1525x2500 F/F jasny brąz		m2		0	0,00	0,00		
065S13/11 F/F		Sklejka liściasta foliowana 6,5x1525x3050 F/F		m2		1278,8346	32,16	41132,69		
065S13/11 F/F grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F grey		m2		418,4077	32,27	13501,63		
065S13/11 F/F grey/d.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz		m2		325,5386	31,33	10199,64		
065S13/11 F/F l.br SRT		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz		m2		0	0,00	0,00		
065S13/11 F/F l.br.		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz		m2		0	0,00	0,00		
065S13/11 F/F light grey		Sklejka liściasta foliowana 6,5x1525x3050 F/F jasno szary		m2		0	0,00	0,00		
