Stany magazynowe towarów: na dzień 2026-04-27, jednostka dodatkowa1					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
065S14/05 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Smooth Mesh black	szt	19,7812	138,57	2741,07
065S14/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	szt	116,0093	127,7	14814,94
065S14/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus black	szt	428,7127	139,33	59731,99
065S14/05 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus szara	szt	0	0	0
065S14/07 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W	szt	0	0	0
065S14/07 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus czarna	szt	0	0	0
065S14/07 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus szara	szt	0	0	0
065S14/09 F/W H+ black	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus czarna	szt	0	0	0
065S14/11 F/W	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W	szt	20,0109	191,2	3826,15
065S14/11 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1525x3050 F/W	szt	0	0	0
065S14/11 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W heksa plus czarna	szt	0	0	0
065S14/12 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x3000 F/W	szt	0	0	0
065S14/12 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1500x3000 F/W	szt	0	0	0
065S14/27 F/W	Sklejka liściasta antypoślizgowa 6,5x2150x3850 F/W	szt	1,9874	464,93	924,01
065S14/64 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1200x2400 F/W heksa czarna	szt	0	0	0
065S15/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	szt	0	0	0
065S15/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus czarna	szt	52,9738	93,63	4959,82
065S15/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	szt	0	0	0
065S15/05 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Heksa czarna	szt	28,9969	119,35	3460,9
065s15/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	szt	0	0	0
065S15/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus czarna	szt	32,9846	98,49	3248,51
065S15/09 F/W H+ grey	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus szara	szt	0	0	0
065S15/09 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus czarna	szt	0	0	0
