Stany magazynowe towarów: na dzień 2026-04-27					
Kod towaru	nazwa towaru	jm	stan	cena	wartość
065S12/05 F/F yell.	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta	m2	0	0	0
065S12/05 M/F	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	m2	0	0	0
065S12/05 M/M white	Sklejka liściasta foliowana 6,5x1250x2500 M/M	m2	275,0538	38,8	10671,1
065S12/09 F/F	Sklejka liściasta foliowana 6,5x1525x2500 F/F	m2	0	0	0
065S12/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	m2	181,4415	39,18	7108,26
065S12/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara	m2	0	0	0
065S12/11 F/F grey / d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/ciemny brąz	m2	0	0	0
065S12/12	Sklejka liściasta foliowana 6,5x1500x3000 F/F ciemny brąz	m2	0	0	0
065S12/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	m2	975,9796	45,51	44415,33
065S12/12 F/F black	Sklejka liściasta foliowana 6,5x1500x3000 F/F czarna	m2	0	0	0
065S12/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	m2	0	0	0
065S12/12 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F grey/d.brown	m2	1435,5389	58,15	83472,53
065S12/12 F/F l.br.	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	m2	0	0	0
065S12/12 M/M	Sklejka liściasta foliowana 6,5x1500x3000 M/M	m2	76,4615	39,36	3009,54
065S12/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	m2	0	0	0
065S12/75 F/F grey	Sklejka liściasta foliowana 6,5x2150x4000 F/F szara	m2	0	0	0
065S13/05 F/F	Sklejka liściasta foliowana 6,5x1250x2500 F/F	m2	418,7514	31,63	13243,73
065S13/05 F/F black	Sklejka liściasta foliowana 6,5x1250x2500 F/F czarna	m2	33,75	31,06	1048,35
065S13/05 F/F grey	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara	m2	0	0	0
065S13/05 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 F/F szara/brązowa	m2	0	0	0
065S13/05 F/F yell/d.br	Sklejka liściasta foliowana 6,5x1250x2500 F/F żółta/ciemny brąz	m2	0	0	0
065S13/05 M/F white/d.br.	Sklejka liściasta foliowana 6,5x1250x2500 biała/brązowa	m2	0	0	0
065S13/05 M/M	Sklejka liściasta foliowana 6,5x1250x2500 M/M	m2	199,9761	37,9	7579,75
065S13/09 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x2500 F/F jasny brąz	m2	0	0	0
065S13/11 F/F	Sklejka liściasta foliowana 6,5x1525x3050 F/F	m2	1250,9884	33,99	42517,67
065S13/11 F/F grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F grey	m2	1018,4618	31,21	31791,06
065S13/11 F/F grey/d.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F szara/brąz	m2	325,5386	31,33	10199,64
065S13/11 F/F l.br.	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasny brąz	m2	0	0	0
065S13/11 F/F light grey	Sklejka liściasta foliowana 6,5x1525x3050 F/F jasno szary	m2	0	0	0
065S13/11 M/M white	Sklejka liściasta melamina biała 6,5x1525x3050 M/M white	m2	116,3032	40,9	4756,71
065S13/12 F/F	Sklejka liściasta foliowana 6,5x1500x3000 F/F	m2	405,0385	34,57	14000,91
065S13/12 F/F grey	Sklejka liściasta foliowana 6,5x1500x3000 F/F szara	m2	0	0	0
065S13/12 F/F l.br	Sklejka liściasta foliowana 6,5x1500x3000 F/F jasny brąz	m2	0	0	0
065S13/29 F/F	Sklejka liściasta foliowana 6,5x1250x3050 F/F	m2	0	0	0
065S13/57 F/F	Sklejka liściasta foliowana 6,5x2150x3340 F/F	m2	0	0	0
065S13/60 F/F	Sklejka liściasta foliowana 6,5x1250x2750mm	m2	23,9991	31,38	753,07
065S13/62 F/F	Sklejka liściasta foliowana 6,5x2150x3050 F/F ciemny brąz	m2	0	0	0
065S14/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	m2	0	0	0
065S14/03 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W Smooth Mesh czarna	m2	0	0	0
065S14/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus black	m2	1337,6807	41,73	55818,57
065S14/03 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus szara	m2	0	0	0
065S14/03 F/WT	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus	m2	0	0	0
065S14/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	m2	243,53	41,62	10135,76
065S14/05 F/W black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna	m2	0	0	0
065S14/05 F/W Black/d.br	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W czarna/ ciemny brąz	m2	0	0	0
065S14/05 F/W smooth black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Smooth Mesh black	m2	61,8164	44,34	2741,07
065S14/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	m2	362,529	40,87	14814,94
065S14/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus black	m2	1339,7273	44,59	59731,99
065S14/05 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus szara	m2	0	0	0
065S14/07 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W	m2	0	0	0
065S14/07 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus czarna	m2	0	0	0
065S14/07 F/WH+ grey	Sklejka liściasta antypoślizgowa 6,5x1500x2500 F/W heksa plus szara	m2	0	0	0
065S14/09 F/W H+ black	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus czarna	m2	0	0	0
065S14/11 F/W	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W	m2	93,0769	41,11	3826,15
065S14/11 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1525x3050 F/W	m2	0	0	0
065S14/11 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W heksa plus czarna	m2	0	0	0
065S14/12 F/W	Sklejka liściasta antypoślizgowa 6,5x1500x3000 F/W	m2	0	0	0
065S14/12 F/W EUK	Sklejka antypoślizgowa eukaliptus 6,5x1500x3000 F/W	m2	0	0	0
065S14/27 F/W	Sklejka liściasta antypoślizgowa 6,5x2150x3850 F/W	m2	16,4509	56,17	924,01
065S14/64 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1200x2400 F/W heksa czarna	m2	0	0	0
065S15/03 F/W	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W	m2	0	0	0
065S15/03 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1220x2440 F/W heksa plus czarna	m2	157,6924	31,45	4959,82
065S15/05 F/W	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W	m2	0	0	0
065S15/05 F/WH black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W Heksa czarna	m2	90,6154	38,19	3460,9
065s15/05 F/WH+	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus	m2	0	0	0
065S15/05 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1250x2500 F/W heksa plus czarna	m2	103,077	31,52	3248,51
065S15/09 F/W H+ grey	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus szara	m2	0	0	0
065S15/09 F/WH+ black	Sklejka liściasta antypoślizgowa 6,5x1525x2500 F/W heksa plus czarna	m2	0	0	0
065S15/11 F/W	Sklejka liściasta antypoślizgowa 6,5x1525x3050 F/W	m2	139,3847	22,75	3171
